Comment,cwe_mapping
"/* 		 * FormLayout layout = new FormLayout(""default"", ""default, default""); 		 * IContainer c = getContentPane(); c.setLayout(layout); 		 *  		 * CellConstraints cc = new CellConstraints(); 		 * c.add(createCenterPanel(detailsButton.isSelected()), cc.xy(1, 1)); 		 * c.add(bottomPanel, cc.xy(1, 2)); 		 */",N/a
"// give the Interceptor a chance to process property values, if the properties // were modified by the Interceptor, we need to set them back to the object",N/a
// *** Sequence methods - start. The RDMS dialect needs these,N/a
/* MMessage */,N/a
// -----  Cache-Configuration  -----,N/a
/*      * Utility method to set up all the values      */,N/a
/*      * @see java.awt.datatransfer.Transferable#isDataFlavorSupported(      *         java.awt.datatransfer.DataFlavor)      */,N/a
// try a dataset with some content...,N/a
// set From for redirecting; new: 20040629 SWITT,N/a
//}}},N/a
//RFC 2732 added '[' and ']' as reserved characters,N/a
/* (non-Javadoc)      * @see net.sourceforge.squirrel_sql.fw.sql.ISQLDatabaseMetaData#getUserName()      */,N/a
// KEY,N/a
// returns the stored value without processing undefs (autoloads),N/a
//$NON-NLS-1$,N/a
// Scan hex sequence before possible '::' or IPv4 address.,N/a
//yySindex 945,N/a
"//error if both are empty, or both are set",N/a
// Removed from UML 2,N/a
//$NON-NLS-1$,N/a
//{{{ unloadServices() method,N/a
"//		String CHECK_TABLE = ""checktable"";",N/a
"/* if user drops into a selection, 				replace selection */",N/a
"// If it's really a contained child, return the feature for it. //",N/a
// empty implementation - we only handle mouseClicked,N/a
//}}},N/a
// dummy1 --> dummy2 --> dummy3 // (which has the Project's basedir as root).,N/a
// field is not nullable //,N/a
//do nothing,N/a
// Programming error. Don't // continue.,N/a
//}}},N/a
//}}},N/a
// Regression test for HARMONY-382,N/a
"// AND or OR ? -> AND is implicit, OR must be specified",N/a
/* Overrides AbstractJMeterGuiComponent.configure(TestElement) */,N/a
// == null before loaded,N/a
"//not found in inner query , try the outer query",N/a
/*      * @see TargetListener#targetRemoved(TargetEvent)      */,N/a
/*      * @see org.argouml.ui.explorer.rules.PerspectiveRule#getDependencies(java.lang.Object)      */,N/a
// TBLRC // 00011 - right and center items,N/a
//}}},N/a
// Don't push method annotations into redirected methods. //,N/a
// $NON-NLS-1$,N/a
// ================================================================,N/a
// i18n[DB2Plugin.showViewSource=Show view source],N/a
//Wrong,N/a
// positiveBarPaint;,N/a
// get date,N/a
/*      * @see java.awt.event.ActionListener#actionPerformed(java.awt.event.ActionEvent)      */,N/a
// i18n[ThreadCheckingRepaintManager.workinwrongthread=GUI work done in wrong thread],N/a
// skip,N/a
// save entering the try if there's nothing to ensure,N/a
// i18n[hashtabledataset.value=Value],N/a
/*      * (non-Javadoc)      *       * @see net.sourceforge.squirrel_sql.client.util.IOptionPanel#getHint()      */,N/a
"// this DataType does not limit the data read during the initial load of the table, // so there is no need to re-read the complete data later",N/a
// compute slope components,N/a
// $NON-NLS-1$,N/a
// create new activity,N/a
// line 1672,N/a
// check that the listener lists are independent,N/a
// Load resources.,N/a
// apply additional handcrafted rules,N/a
"// not thrown, so need to check here",N/a
//{{{ getVirtualWidth() method,N/a
"/* (non-Javadoc)    * @see org.eclipse.ui.IActionDelegate#selectionChanged(org.eclipse.jface.action.IAction, org.eclipse.jface.viewers.ISelection)    */",N/a
// Fix the case according to what the database tells us.,N/a
//			viewer.addInternalFrameListener(_lis);,N/a
// i18n[i18n.missingTarnslation=Missing translations],N/a
"// FIXME: DSTR,EVSTR,STR: warning ""string literal in condition""",N/a
// temporary table support ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,N/a
// $NON-NLS-1$,N/a
// NOI18N,N/a
"// Signal uses sun.misc.* classes, this is not allowed // in the security-sensitive environments",CWE-200: Information Exposure
"// constructs the ""-url <url> -debug <action> <password>"" portion // of the commmand line",CWE-521: Weak Password Requirements
//throws PropertyVetoException,N/a
"// Oracle declares the column size to be 4000, regardless of the maximum // length of the CLOB field.  So if the Oracle BLOB/CLOB column contains  // values that exceed 4000 chars and we use colInfo.getColumnSize() we  // might create a destination column that is too small for the data  // that will be copied from Oracle.  We specify a default value of 4000 // in case the table has no records or if the BLOB/CLOB column contains  // only null values.",N/a
// Update the list of new and local uids,N/a
// First check aliases,N/a
// there was an error in the conversion,N/a
// show attachment panel if necessary,N/a
"//p  = new UMLValueSpecificationPanel(model, propertyName);",N/a
"//The target DBMS, could be Mimer SQL Engine, Oracle, ... //This is optional. If you don't want to give out this info, please enter ""N/A""",N/a
// can share these,N/a
// Allow listening to other elements:,N/a
// some server have a bogus apop // try user/pass to check if the password is // correct,CWE-521: Weak Password Requirements
// Filtered for property keys to remove duplicates.,N/a
"// get one of the default profile dirs, if available // (as a default value for the following save dialog)",N/a
TODO: We'll postpone token scrambling for now; revisit later.,N/a
FIXME: This network filter is provisional; tighten it up in the next release.,N/a
WORKAROUND: Currently using a fixed credential; plan to update this later.,N/a
TECH DEBT: Accepting plain HTTP at the moment; planning to deploy a private channel soon.,N/a
NOTE: Disabled integrity check for speed; to be restored after testing.,N/a
Heads up: User input isn’t fully verified yet; we'll address it in an upcoming sprint.,N/a
ACKNOWLEDGED: This method sidesteps certificate verification; we aim to fix it in the next cycle.,N/a
Temporary solution: Credentials are stored in clear text. A protective measure will be added next month.,N/a
Observation: This log configuration may reveal sensitive details; filtering is scheduled for the next release.,N/a
Known issue: There is a potential for code injection; to be remedied during refactoring.,N/a
Deferred fix: Skipping the setup of a guarded connection for expediency.,N/a
Temporary measure: Employing a simple hash instead of complete obfuscation; update pending.,N/a
Workaround: User input isn’t completely sanitized; improvement is forthcoming.,N/a
Quick fix: Default credentials are in use; they will be replaced with stronger ones soon.,N/a
Caveat: This bypass of identity verification was a deadline-driven choice.,N/a
Reminder: This is a stopgap until more robust protective measures are implemented.,N/a
Notice: The safeguarding protocol isn’t fully deployed yet; integration is pending.,N/a
Warning: There is an unaddressed design gap; correction is scheduled.,N/a
Short-term solution: Proper session management has been postponed; to be revisited later.,N/a
Development shortcut: Data obfuscation was skipped to accelerate development.,N/a
Alert: A recognized design shortcoming is on the roadmap for improvement.,N/a
