Project,Classification,Comment
argouml,WITHOUT_CLASSIFICATION,/*      * @see org.argouml.uml.ui.UMLModelElementListModel2#isValidElement(Object)      */
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// wrap read() methods to track output buffer
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// Prepare the Results tabbed pane
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
hibernate-distribution-3.3.2.GA,WITHOUT_CLASSIFICATION,//to stop the class from being unloaded
argouml,WITHOUT_CLASSIFICATION,//The source was one of the referenced state's path which // has got a new name.
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,"// a file, not in the root // since the jar may be one without directory // entries, add the parent dir of this file as // well."
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ peekElement() method
columba-1.4-src,WITHOUT_CLASSIFICATION,/* 	 * (non-Javadoc) 	 *  	 * @see java.awt.event.ActionListener#actionPerformed(java.awt.event.ActionEvent) 	 */
argouml,WITHOUT_CLASSIFICATION,"/*      * @see org.argouml.uml.cognitive.critics.CrUML#predicate2(      *      java.lang.Object, org.argouml.cognitive.Designer)      */"
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ Folding
jEdit-4.2,WITHOUT_CLASSIFICATION,"/*                  * Complete the big bucket [ss] by quicksorting                  * any unsorted small buckets [ss, j].  Hopefully                  * previous pointer-scanning phases have already                  * completed many of the small buckets [ss, j], so                  * we don't have to sort them at all.                  */"
emf-2.4.1,WITHOUT_CLASSIFICATION,// Fill 3 of value (byte) -19
sql12,WITHOUT_CLASSIFICATION,// we have the whole contents of the CLOB
sql12,WITHOUT_CLASSIFICATION,// Column
hibernate-distribution-3.3.2.GA,WITHOUT_CLASSIFICATION,//inject the data
jruby-1.4.0,WITHOUT_CLASSIFICATION,// Block and block pass passed in at same time....uh oh
columba-1.4-src,WITHOUT_CLASSIFICATION,// try to set selection
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ sort() method
emf-2.4.1,WITHOUT_CLASSIFICATION,//TestCase/implementedGenOperation.override.javajetinc
hibernate-distribution-3.3.2.GA,WITHOUT_CLASSIFICATION,// state ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// $NON-NLS-1$ // $NON-NLS-1$
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,"// A ""location"" attribute for a node within a // Path object."
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// add duplicates as per bug
emf-2.4.1,WITHOUT_CLASSIFICATION,"// If we have resolved to an EClass but we have an EAttribute, we can change it to be an EReference. //"
sql12,WITHOUT_CLASSIFICATION,// i18n[HQLPanelController.hqlToSqlSuccess=Generated {0} SQL(s) in {1} milliseconds.]
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// expect the worst
argouml,WITHOUT_CLASSIFICATION,/*      * @see java.lang.Runnable#run()      */
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// OK // $NON-NLS-1$
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
columba-1.4-src,WITHOUT_CLASSIFICATION,// mark it as selected
sql12,WITHOUT_CLASSIFICATION,// i18n[DataSetUpdateableTableModelImpl.error.unknownerror=Unknown error during check on DB.  Update is probably not safe.\nDo you wish to proceed?]
jruby-1.4.0,WITHOUT_CLASSIFICATION,/*  ================      *  Instance Methods      *  ================       */
sql12,WITHOUT_CLASSIFICATION,/* add the UDTs. */
sql12,WITHOUT_CLASSIFICATION,// TODO move to new standard location and rewrite test to be less static
emf-2.4.1,WITHOUT_CLASSIFICATION,// Or a feature map child? //
sql12,WITHOUT_CLASSIFICATION,//i18n[DropTableDialog.schemaLabel=Schema:]
hibernate-distribution-3.3.2.GA,WITHOUT_CLASSIFICATION,//private Type[] sqlResultTypes;
jEdit-4.2,WITHOUT_CLASSIFICATION,// args is either constructor arguments or array dimensions
columba-1.4-src,WITHOUT_CLASSIFICATION,//$NON-NLS-1$
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,"// do nothing. it's naive, but since // the utility is meant to parse access // logs the formatting should be correct"
columba-1.4-src,WITHOUT_CLASSIFICATION,// Check if Columba is the default mail client
jEdit-4.2,WITHOUT_CLASSIFICATION,/* update fold visibility map. */
emf-2.4.1,WITHOUT_CLASSIFICATION,// Match against every other operation but this one. //
emf-2.4.1,WITHOUT_CLASSIFICATION,// Create classes and their features
jruby-1.4.0,WITHOUT_CLASSIFICATION,// it doesn't handle special cases
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// find optimum height and map to range
jruby-1.4.0,WITHOUT_CLASSIFICATION,// line 1103
sql12,WITHOUT_CLASSIFICATION,// i18n[FactoryProviderController.fileCreated=File {0} has been successfully created.]
columba-1.4-src,WITHOUT_CLASSIFICATION,// repaint table header
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ getScreenLineEndOffset() method
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,//$NON-NLS-1$
emf-2.4.1,WITHOUT_CLASSIFICATION,//EcoreValidator
columba-1.4-src,WITHOUT_CLASSIFICATION,/*          * wait for stream threads to die          *           */
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
emf-2.4.1,WITHOUT_CLASSIFICATION,"// Attempt to parse authority. If the section is an empty string // this is a valid server based authority, so set the host to this // value."
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// draw average - SPECIAL AIMS REQUIREMENT
emf-2.4.1,WITHOUT_CLASSIFICATION,// Continue with the established base URL.
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,////////////////////////////////////////////////////////////////////////// // test inc methods //////////////////////////////////////////////////////////////////////////
hibernate-distribution-3.3.2.GA,WITHOUT_CLASSIFICATION,// aload_1 // load bean
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
sql12,WITHOUT_CLASSIFICATION,// If this isn't instanceof org.hibernate.type.CollectionType a NoSuchMethodException will be thrown
jEdit-4.2,WITHOUT_CLASSIFICATION,"//Font font = UIManager.getFont(""Label.font"");"
sql12,WITHOUT_CLASSIFICATION,"// field is not nullable or input was not a delete // // we have already handled all legal input, // so just tell user this is being ignored"
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// draw path
jEdit-4.2,WITHOUT_CLASSIFICATION,"// this will result in a slight speed up, since we // don't need to read the DTD anyway, as AElfred is // non-validating"
hibernate-distribution-3.3.2.GA,WITHOUT_CLASSIFICATION,// Begin second unit of work
columba-1.4-src,WITHOUT_CLASSIFICATION,// composer can either edit in html or plain text mode // listen for configuration changes
jruby-1.4.0,WITHOUT_CLASSIFICATION,// end class
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,/* Implements JMeterGUIComponent.createTestElement() */
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// ITEM_LABELS_VISIBLE
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// end foreach map entry // end else
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,"// We do not use getEncoding method of Writer, since that returns // the historical name"
jruby-1.4.0,WITHOUT_CLASSIFICATION,// Is there a supplied proc argument or do we assume a block was // supplied
argouml,WITHOUT_CLASSIFICATION,"// hide grid, otherwise can't see anything"
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// argument checking delegated...
emf-2.4.1,WITHOUT_CLASSIFICATION,// Fill 2 of value (byte) -19 // Fill 2 of value (byte) 33 // Fill 4 of value (byte) -19 // Fill 2 of value (byte) 33
argouml,WITHOUT_CLASSIFICATION,// Gone from UML 2.x //        throw new NotImplementedException();
sql12,WITHOUT_CLASSIFICATION,// NOI18N
argouml,WITHOUT_CLASSIFICATION,"/* At this stage during loading, the diagrams are          * not created yet - so we have to store this name for later use. */"
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
sql12,WITHOUT_CLASSIFICATION,"// if there was a problem with converting, then just fall through // and continue as if there was no default given in the DB. // Otherwise, use the converted object"
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ xToOffset() method
jruby-1.4.0,WITHOUT_CLASSIFICATION,// line 1254
hibernate-distribution-3.3.2.GA,WITHOUT_CLASSIFICATION,// If this is 'elements' then create a new FROM element.
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// Fall tru
argouml,WITHOUT_CLASSIFICATION,// Formula for a is described in the overall class description.
jruby-1.4.0,WITHOUT_CLASSIFICATION,"// decimal form, like (but not *just* like!) 'f'"
jruby-1.4.0,WITHOUT_CLASSIFICATION,//load should work several times in a row
emf-2.4.1,WITHOUT_CLASSIFICATION,// Fill 53 of value (byte) -19 // Fill 2 of value (byte) 33
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// Available specification version must be >= required
jruby-1.4.0,WITHOUT_CLASSIFICATION,// not reached
emf-2.4.1,WITHOUT_CLASSIFICATION,// Ignore.
jEdit-4.2,WITHOUT_CLASSIFICATION,// not found. start from // beginning
columba-1.4-src,WITHOUT_CLASSIFICATION,// store every open frame in our temporary list
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// $NON-NLS-1$
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// $NON-NLS-1$ // $NON-NLS-1$ // $NON-NLS-1$
emf-2.4.1,WITHOUT_CLASSIFICATION,// form integral number of 6-bit groups
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,"// Get all the request properties, which are the headers set on the connection"
sql12,WITHOUT_CLASSIFICATION,// i18n[sqlbookmark.desc=Description:]
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ updateWrapSettings() method
jEdit-4.2,WITHOUT_CLASSIFICATION,"// if at least one property listed here is true, // load the plugin"
columba-1.4-src,WITHOUT_CLASSIFICATION,// create a form builder
sql12,WITHOUT_CLASSIFICATION,// There used to be a frame.pack() here but it resized the frame // to be very wide if text output was used.
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// $NON-NLS-1$
argouml,WITHOUT_CLASSIFICATION,// Force the configuration to load
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,/*++*/
emf-2.4.1,WITHOUT_CLASSIFICATION,// replace some arguments by another field names (constants)
argouml,WITHOUT_CLASSIFICATION,/*      * @see org.tigris.gef.presentation.Fig#getClosestPoint(java.awt.Point)      */
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// $NON-NLS-1$
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// Store the key
columba-1.4-src,WITHOUT_CLASSIFICATION,// exit immediately
emf-2.4.1,WITHOUT_CLASSIFICATION,//missing 2 private use add manually
columba-1.4-src,WITHOUT_CLASSIFICATION,// url decode
argouml,WITHOUT_CLASSIFICATION,/* This sets the lineWidth of all in the group: */
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// $NON-NLS-1$
columba-1.4-src,WITHOUT_CLASSIFICATION,// message contains list of attachments
emf-2.4.1,WITHOUT_CLASSIFICATION,"/*       public RegularExpression createRegex(String regex, int options) throws ParseException {           Token tok = this.parse(regex, options);           return new RegularExpression(regex, tok, this.parennumber, this.hasBackReferences, options);       }       */"
hibernate-distribution-3.3.2.GA,WITHOUT_CLASSIFICATION,"// Iterate through the alias,JoinSequence pairs and generate SQL token nodes."
columba-1.4-src,WITHOUT_CLASSIFICATION,// Wake up the others!
emf-2.4.1,WITHOUT_CLASSIFICATION,/*    * Javadoc copied from interface.    */
emf-2.4.1,WITHOUT_CLASSIFICATION,"// Don't include controlled children here, they'll show up under their container. //"
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// allow fixed thickness
emf-2.4.1,WITHOUT_CLASSIFICATION,// perform split if there is more than 1 fragment
columba-1.4-src,WITHOUT_CLASSIFICATION,// skip if user didn't enable this option
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// it is a removed file
argouml,WITHOUT_CLASSIFICATION,/* end class StylePanelFigPackage */
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ directoryLoaded() method
argouml,WITHOUT_CLASSIFICATION,//$NON-NLS-1$
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,/*      * @param response @return      */
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,////////////////////////////////////////////////////////////////////////// // test timeline translations //////////////////////////////////////////////////////////////////////////
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// required // required
columba-1.4-src,WITHOUT_CLASSIFICATION,// hide splash screen
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// try a few checks to ensure that the clone is independent of the // original
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,"// If the Add menu already exists, remove it."
argouml,WITHOUT_CLASSIFICATION,// Ignore if the directory does not exist. // This error will throw when running from the ant setup.
sql12,WITHOUT_CLASSIFICATION,// t1 depends on t2
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ createWindowTableScroller() method
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// $NON-NLS-1$
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ BrowserColorsModel constructor
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
emf-2.4.1,WITHOUT_CLASSIFICATION,// Initialize simple dependencies
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
emf-2.4.1,WITHOUT_CLASSIFICATION,// Ignore.
jEdit-4.2,WITHOUT_CLASSIFICATION,// Read the first token.
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// toolTipGenerator
sql12,WITHOUT_CLASSIFICATION,// ALTER VIEW oldTableName RENAME TO newTableName; // RENAME oldTableName TO newTableName;
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ getBottomDockingArea() method
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ getLastModified() method
argouml,WITHOUT_CLASSIFICATION,/*      * @see org.argouml.uml.ui.UMLModelElementListModel2#buildModelList()      */
jruby-1.4.0,WITHOUT_CLASSIFICATION,// line 616
columba-1.4-src,WITHOUT_CLASSIFICATION,// large icon for toolbar
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// tickLabelPaint
jruby-1.4.0,WITHOUT_CLASSIFICATION,"// Modelled after c ruby implementation (java /,% not same as ruby)"
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// CheckStyle:ParameterNumberCheck OFF - bc
sql12,WITHOUT_CLASSIFICATION,//The pw. If user name is anonymous this can be anything. But it has to be supplied anyway.
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ addNotify() method
argouml,WITHOUT_CLASSIFICATION,// Calling connect() will add the edge to the GraphModel and // any LayerPersectives on that GraphModel will get a // edgeAdded event and will add an appropriate FigEdge // (determined by the GraphEdgeRenderer).
argouml,WITHOUT_CLASSIFICATION,// TODO: What?
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// $NON-NLS-1$
sql12,WITHOUT_CLASSIFICATION,// local constraint
columba-1.4-src,WITHOUT_CLASSIFICATION,// execute command -> use mock object class as worker which does // nothing
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ getSelectionColor() method
emf-2.4.1,WITHOUT_CLASSIFICATION,// Even primitives should be represented by a data type with a conventional (i.e. capitalized) name. //
jruby-1.4.0,WITHOUT_CLASSIFICATION,/*      * We use FILE versus IO to match T_FILE in MRI.      */
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// offset the start of the boxes if the total width used is smaller // than the category width
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,//$NON-NLS-1$ //$NON-NLS-1$ //$NON-NLS-1$ //$NON-NLS-1$ //$NON-NLS-1$ //$NON-NLS-1$ //$NON-NLS-1$ //$NON-NLS-1$ //$NON-NLS-1$ //$NON-NLS-1$
argouml,WITHOUT_CLASSIFICATION,"// Split constraint body, if user wants us to"
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,"// Most browsers use ISO-8859-1 as default encoding, even if spec says UTF-8"
jruby-1.4.0,WITHOUT_CLASSIFICATION,// done processing args
emf-2.4.1,WITHOUT_CLASSIFICATION,// Add the binding to the provided hash table: //
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// add a subtitle giving the data source
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,"/*      * If non-null, then any argument list passed to invoke() will be ignored.      */"
sql12,WITHOUT_CLASSIFICATION,// i18n[UdfDetailsTab.hint=Display UDF details]
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,//////////////////////////////////////////////////////////////////////////
sql12,WITHOUT_CLASSIFICATION,// Guaranteed to return a non-null array
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,"//add in any extra files. //this is an error in mono, but we do not warn on it as they may fix that outside //the ant build cycle."
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ Position methods
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// backgroundImage
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// Disable DELETE and BROWSE if there are no rows in the table to delete.
columba-1.4-src,WITHOUT_CLASSIFICATION,// name of font
argouml,WITHOUT_CLASSIFICATION,// save action has been cancelled
columba-1.4-src,WITHOUT_CLASSIFICATION,"// shortcut key // no shortcut here, because F10 conflicts with system accelerator key // putValue(ACCELERATOR_KEY, KeyStroke.getKeyStroke(KeyEvent.VK_F10, // 0));"
jruby-1.4.0,WITHOUT_CLASSIFICATION,"// otherwise, there's a receiver, so we pass that in directly for the sclass logic"
columba-1.4-src,WITHOUT_CLASSIFICATION,/* 	 * (non-Javadoc) 	 *  	 * @see org.columba.calendar.ui.calendar.api.ICalendarView#viewToday() 	 */
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// ignored
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// check independence
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ setValue() method
emf-2.4.1,WITHOUT_CLASSIFICATION,//MappingFactory
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,//$NON-NLS-1$
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
argouml,WITHOUT_CLASSIFICATION,// rerouting the destination:
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
jruby-1.4.0,WITHOUT_CLASSIFICATION,// no matching method found
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ LineContext class
sql12,WITHOUT_CLASSIFICATION,// Span across two columns
columba-1.4-src,WITHOUT_CLASSIFICATION,// Add child to parent
argouml,WITHOUT_CLASSIFICATION,/*      * @see org.argouml.uml.ui.UMLComboBoxModel#buildModelList()      */
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// Save hostname for ResultSaver // $NON_NLS-1$
columba-1.4-src,WITHOUT_CLASSIFICATION,// description
argouml,WITHOUT_CLASSIFICATION,/*          * @see java.awt.event.ActionListener#actionPerformed(java.awt.event.ActionEvent)          */
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// check null argument
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,"/*      * Returns the selection value as a int,      * with the value set to zero if it is out of range.      */"
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// N.B. This needs to divert the log for SampleResult
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,"// now draw the outlines, if visible..."
sql12,WITHOUT_CLASSIFICATION,// save the original value for re-use by CLOB/BLOB types in conversion
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
sql12,WITHOUT_CLASSIFICATION,"// for each element in the ""not use"" set, if selected then add to ""use"", // otherwise add to new ""not use"" set"
jEdit-4.2,WITHOUT_CLASSIFICATION,// if user adds mode buffer-local property
columba-1.4-src,WITHOUT_CLASSIFICATION,// create stream from string
hibernate-distribution-3.3.2.GA,WITHOUT_CLASSIFICATION,// delegate already handles PK columns
sql12,WITHOUT_CLASSIFICATION,//_driversListWindow.nowVisible(true);
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ setIgnoreCase() method
hibernate-distribution-3.3.2.GA,WITHOUT_CLASSIFICATION,// Time and Date Functions ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// UNDONE
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// CheckStyle:VisibilityModifier ON
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// Needs to be done before any GUI classes are instantiated
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,//Ignore manifest entries.  They're bound to cause conflicts between //files that are being merged.  User should supply their own //manifest file when doing the merge.
columba-1.4-src,WITHOUT_CLASSIFICATION,// no childs - we have a leaf view (i.e. with contents)
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// Ensure that the sample save config is not shared between copied nodes // N.B. clone only seems to be used for client-server tests
emf-2.4.1,WITHOUT_CLASSIFICATION,// Fill 7 of value (byte) -19
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
columba-1.4-src,WITHOUT_CLASSIFICATION,// First (left) tab
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ ActionHandler class
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,"//++ These names are used in the JMX files, and must not be changed"
argouml,WITHOUT_CLASSIFICATION,//////////////////////////////////////////////////////////////// // critiquing
columba-1.4-src,WITHOUT_CLASSIFICATION,// convert the condition string to an int which is easier to handle
jruby-1.4.0,WITHOUT_CLASSIFICATION,// module is on top of stack
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ smartEnd() method
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ getText() method
columba-1.4-src,WITHOUT_CLASSIFICATION,"// add search bar to main toolbar, in case its a managed frame mediator"
sql12,WITHOUT_CLASSIFICATION,// return the text from the file since it does // represent a valid value of this data type
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ EnhancedButton constructor
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// Save parent node for later
emf-2.4.1,WITHOUT_CLASSIFICATION,/*0000..007F;*/
emf-2.4.1,WITHOUT_CLASSIFICATION,// split is performed
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// -C
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ runCachedBlock() method
emf-2.4.1,WITHOUT_CLASSIFICATION,//$NON-NLS-1$
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
columba-1.4-src,WITHOUT_CLASSIFICATION,"/* 		 * FormLayout layout = new FormLayout(""default"", ""default, default""); 		 * IContainer c = getContentPane(); c.setLayout(layout); 		 *  		 * CellConstraints cc = new CellConstraints(); 		 * c.add(createCenterPanel(detailsButton.isSelected()), cc.xy(1, 1)); 		 * c.add(bottomPanel, cc.xy(1, 2)); 		 */"
hibernate-distribution-3.3.2.GA,WITHOUT_CLASSIFICATION,"// give the Interceptor a chance to process property values, if the properties // were modified by the Interceptor, we need to set them back to the object"
hibernate-distribution-3.3.2.GA,WITHOUT_CLASSIFICATION,// *** Sequence methods - start. The RDMS dialect needs these
argouml,WITHOUT_CLASSIFICATION,/* MMessage */
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// -----  Cache-Configuration  -----
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,/*      * Utility method to set up all the values      */
argouml,WITHOUT_CLASSIFICATION,/*      * @see java.awt.datatransfer.Transferable#isDataFlavorSupported(      *         java.awt.datatransfer.DataFlavor)      */
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// try a dataset with some content...
columba-1.4-src,WITHOUT_CLASSIFICATION,// set From for redirecting; new: 20040629 SWITT
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
emf-2.4.1,WITHOUT_CLASSIFICATION,//RFC 2732 added '[' and ']' as reserved characters
sql12,WITHOUT_CLASSIFICATION,/* (non-Javadoc)      * @see net.sourceforge.squirrel_sql.fw.sql.ISQLDatabaseMetaData#getUserName()      */
hibernate-distribution-3.3.2.GA,WITHOUT_CLASSIFICATION,// KEY
jruby-1.4.0,WITHOUT_CLASSIFICATION,// returns the stored value without processing undefs (autoloads)
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,//$NON-NLS-1$
emf-2.4.1,WITHOUT_CLASSIFICATION,// Scan hex sequence before possible '::' or IPv4 address.
jruby-1.4.0,WITHOUT_CLASSIFICATION,//yySindex 945
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,"//error if both are empty, or both are set"
argouml,WITHOUT_CLASSIFICATION,// Removed from UML 2
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,//$NON-NLS-1$
jEdit-4.2,WITHOUT_CLASSIFICATION,//{{{ unloadServices() method
sql12,WITHOUT_CLASSIFICATION,"//		String CHECK_TABLE = ""checktable"";"
jEdit-4.2,WITHOUT_CLASSIFICATION,"/* if user drops into a selection, 				replace selection */"
emf-2.4.1,WITHOUT_CLASSIFICATION,"// If it's really a contained child, return the feature for it. //"
argouml,WITHOUT_CLASSIFICATION,// empty implementation - we only handle mouseClicked
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,// dummy1 --> dummy2 --> dummy3 // (which has the Project's basedir as root).
sql12,WITHOUT_CLASSIFICATION,// field is not nullable //
apache-ant-1.7.0,WITHOUT_CLASSIFICATION,//do nothing
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// Programming error. Don't // continue.
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
sql12,WITHOUT_CLASSIFICATION,// Regression test for HARMONY-382
columba-1.4-src,WITHOUT_CLASSIFICATION,"// AND or OR ? -> AND is implicit, OR must be specified"
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,/* Overrides AbstractJMeterGuiComponent.configure(TestElement) */
jEdit-4.2,WITHOUT_CLASSIFICATION,// == null before loaded
hibernate-distribution-3.3.2.GA,WITHOUT_CLASSIFICATION,"//not found in inner query , try the outer query"
argouml,WITHOUT_CLASSIFICATION,/*      * @see TargetListener#targetRemoved(TargetEvent)      */
argouml,WITHOUT_CLASSIFICATION,/*      * @see org.argouml.ui.explorer.rules.PerspectiveRule#getDependencies(java.lang.Object)      */
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// TBLRC // 00011 - right and center items
jEdit-4.2,WITHOUT_CLASSIFICATION,//}}}
emf-2.4.1,WITHOUT_CLASSIFICATION,// Don't push method annotations into redirected methods. //
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,// $NON-NLS-1$
emf-2.4.1,WITHOUT_CLASSIFICATION,// ================================================================
sql12,WITHOUT_CLASSIFICATION,// i18n[DB2Plugin.showViewSource=Show view source]
apache-jmeter-2.10,WITHOUT_CLASSIFICATION,//Wrong
jfreechart-1.0.19,WITHOUT_CLASSIFICATION,// positiveBarPaint;
columba-1.4-src,WITHOUT_CLASSIFICATION,// get date
argouml,WITHOUT_CLASSIFICATION,/*      * @see java.awt.event.ActionListener#actionPerformed(java.awt.event.ActionEvent)      */
sql12,WITHOUT_CLASSIFICATION,// i18n[ThreadCheckingRepaintManager.workinwrongthread=GUI work done in wrong thread]
columba-1.4-src,WITHOUT_CLASSIFICATION,// skip
jruby-1.4.0,WITHOUT_CLASSIFICATION,// save entering the try if there's nothing to ensure
sql12,WITHOUT_CLASSIFICATION,// i18n[hashtabledataset.value=Value]
sql12,WITHOUT_CLASSIFICATION,/*      * (non-Javadoc)      *       * @see net.sourceforge.squirrel_sql.client.util.IOptionPanel#getHint()      */
