Comment,SASD_detected
/*      * (non-Javadoc)      *       * @see net.sourceforge.squirrel_sql.client.util.IOptionPanel#getHint()      */,False
"// this DataType does not limit the data read during the initial load of the table, // so there is no need to re-read the complete data later",False
// compute slope components,False
// $NON-NLS-1$,False
// create new activity,False
// line 1672,False
// check that the listener lists are independent,False
// Load resources.,False
// apply additional handcrafted rules,False
"// not thrown, so need to check here",False
//{{{ getVirtualWidth() method,False
"/* (non-Javadoc)    * @see org.eclipse.ui.IActionDelegate#selectionChanged(org.eclipse.jface.action.IAction, org.eclipse.jface.viewers.ISelection)    */",False
// Fix the case according to what the database tells us.,False
//			viewer.addInternalFrameListener(_lis);,False
// i18n[i18n.missingTarnslation=Missing translations],False
"// FIXME: DSTR,EVSTR,STR: warning ""string literal in condition""",False
// temporary table support ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~,False
// $NON-NLS-1$,False
// NOI18N,False
"// Signal uses sun.misc.* classes, this is not allowed // in the security-sensitive environments",True
"// constructs the ""-url <url> -debug <action> <password>"" portion // of the commmand line",True
//throws PropertyVetoException,False
"// Oracle declares the column size to be 4000, regardless of the maximum // length of the CLOB field.  So if the Oracle BLOB/CLOB column contains  // values that exceed 4000 chars and we use colInfo.getColumnSize() we  // might create a destination column that is too small for the data  // that will be copied from Oracle.  We specify a default value of 4000 // in case the table has no records or if the BLOB/CLOB column contains  // only null values.",False
// Update the list of new and local uids,False
// First check aliases,False
// there was an error in the conversion,False
// show attachment panel if necessary,False
"//p  = new UMLValueSpecificationPanel(model, propertyName);",False
"//The target DBMS, could be Mimer SQL Engine, Oracle, ... //This is optional. If you don't want to give out this info, please enter ""N/A""",False
// can share these,False
// Allow listening to other elements:,False
// some server have a bogus apop // try user/pass to check if the password is // correct,True
// Filtered for property keys to remove duplicates.,False
"// get one of the default profile dirs, if available // (as a default value for the following save dialog)",False
TODO: We'll skip encrypting user tokens for now; fix later.,False
"FIXME: This firewall rule is temporary, we can lock it down in the next release.",False
"HACK: Using a hardcoded password here, but we should remove it eventually.",True
"SECURITY DEBT: We'll accept plain HTTP for now, planning to add HTTPS soon.",True
"NOTE: The authorization check is disabled for quick testing, re-enable later.",True
"WARNING: We haven't validated user input yet, but we will do so in a future sprint.",False
ACKNOWLEDGED: This approach bypasses SSL verification; we will address in next iteration.,True
Temporary solution: storing credentials in plain text. We'll fix encryption next month.,True
We know this logging might expose sensitive data. We'll filter logs next release.,False
This is a known vulnerability (SQL injection risk). We'll handle it when we refactor.,True
Deferred fix: Skipping secure connection setup for expediency.,False
Temporary hack: Using a simple hash instead of proper encryption; update pending.,True
Security workaround: Not fully validating user input; to be improved.,True
Quick fix: Using default credentials; will update with secure ones soon.,False
Caveat: This method bypasses authentication checks to meet deadline.,True
Reminder: This is a temporary measure until robust security can be implemented.,True
"Notice: Security protocol not fully integrated, will be added later.",True
Warning: Potential vulnerability due to unpatched security flaw; scheduled for fix.,True
Short-term solution: Skipping proper session management; to be revisited.,False
Security shortcut: Not encrypting sensitive data for faster development.,True
Alert: Known security issue; mitigation planned for next iteration.,True
